# Raja Jain
+--------------------+-----------------+--------+
|              window|         Hashtags|trending|
|{2018-07-01 22:00:00, 2018-07-01 23:00:00}|worldcup2018     |133     |
|{2018-07-01 22:00:00, 2018-07-01 23:00:00}|CRODEN           |117     |
|{2018-07-01 22:00:00, 2018-07-01 23:00:00}|ESPRUS           |105     |
|{2018-07-01 23:00:00, 2018-07-02 00:00:00}|WorldCup         |1589    |
|{2018-07-01 23:00:00, 2018-07-02 00:00:00}|worldcup         |130     |
|{2018-07-02 00:00:00, 2018-07-02 01:00:00}|worldcup         |120     |
|{2018-07-02 00:00:00, 2018-07-02 01:00:00}|FIFAStadiumDJ    |124     |
|{2018-07-02 00:00:00, 2018-07-02 01:00:00}|PowerByEXO       |121     |
|{2018-07-02 00:00:00, 2018-07-02 01:00:00}|WorldCup         |1281    |
|{2018-07-02 01:00:00, 2018-07-02 02:00:00}|WorldCup         |603     |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|ItsComingHome    |108     |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|ENGCOL           |442     |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|England          |159     |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|worldcup         |639     |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|ENG              |1933    |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|ThreeLions       |1459    |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|Eng              |156     |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|COLENG           |589     |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|WorldCup         |3555    |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|threelions       |108     |
|{2018-07-04 15:00:00, 2018-07-04 16:00:00}|WorldCup         |717     |
|{2018-07-04 15:00:00, 2018-07-04 16:00:00}|ENG              |176     |
|{2018-07-04 15:00:00, 2018-07-04 16:00:00}|EXO              |130     |
|{2018-07-04 16:00:00, 2018-07-04 17:00:00}|ENG              |229     |
|{2018-07-04 16:00:00, 2018-07-04 17:00:00}|EXO              |112     |
|{2018-07-04 16:00:00, 2018-07-04 17:00:00}|WorldCup         |990     |
